sep=,
"Time","reducirimagen-755894457-7dth5","reducirimagen-755894457-zhvt9"
2025-04-05 19:45:15,24.5 MB,221 MB
2025-04-05 19:45:16,24.5 MB,221 MB
2025-04-05 19:45:17,24.5 MB,221 MB
2025-04-05 19:45:18,24.5 MB,221 MB
2025-04-05 19:45:19,24.5 MB,221 MB
2025-04-05 19:45:20,24.5 MB,221 MB
2025-04-05 19:45:21,24.5 MB,221 MB
2025-04-05 19:45:22,24.5 MB,221 MB
2025-04-05 19:45:23,24.5 MB,221 MB
2025-04-05 19:45:24,24.5 MB,221 MB
2025-04-05 19:45:25,24.5 MB,221 MB
2025-04-05 19:45:26,24.5 MB,221 MB
2025-04-05 19:45:27,24.5 MB,221 MB
2025-04-05 19:45:28,24.5 MB,221 MB
2025-04-05 19:45:29,24.5 MB,221 MB
2025-04-05 19:45:30,24.5 MB,221 MB
2025-04-05 19:45:31,24.5 MB,221 MB
2025-04-05 19:45:32,24.5 MB,221 MB
2025-04-05 19:45:33,24.5 MB,221 MB
2025-04-05 19:45:34,24.5 MB,221 MB
2025-04-05 19:45:35,24.5 MB,221 MB
2025-04-05 19:45:36,24.5 MB,221 MB
2025-04-05 19:45:37,24.5 MB,221 MB
2025-04-05 19:45:38,24.5 MB,221 MB
2025-04-05 19:45:39,24.5 MB,221 MB
2025-04-05 19:45:40,24.5 MB,221 MB
2025-04-05 19:45:41,24.5 MB,221 MB
2025-04-05 19:45:42,24.5 MB,221 MB
2025-04-05 19:45:43,24.5 MB,221 MB
2025-04-05 19:45:44,24.5 MB,221 MB
2025-04-05 19:45:45,24.5 MB,221 MB
2025-04-05 19:45:46,24.5 MB,221 MB
2025-04-05 19:45:47,24.5 MB,221 MB
2025-04-05 19:45:48,24.5 MB,221 MB
2025-04-05 19:45:49,24.5 MB,221 MB
2025-04-05 19:45:50,24.5 MB,221 MB
2025-04-05 19:45:51,24.5 MB,221 MB
2025-04-05 19:45:52,24.5 MB,221 MB
2025-04-05 19:45:53,24.5 MB,221 MB
2025-04-05 19:45:54,24.5 MB,221 MB
2025-04-05 19:45:55,24.5 MB,221 MB
2025-04-05 19:45:56,24.5 MB,221 MB
2025-04-05 19:45:57,24.5 MB,221 MB
2025-04-05 19:45:58,24.5 MB,221 MB
2025-04-05 19:45:59,24.5 MB,221 MB
2025-04-05 19:46:00,24.5 MB,221 MB
