"Time","reducirimagen.openfaas-fn","reducirimagen.openfaas-fn","reducirimagen.openfaas-fn","reducirimagen.openfaas-fn"
2025-01-29 21:50:30,6.64,NaN,,NaN
2025-01-29 21:50:45,7.61,NaN,,NaN
2025-01-29 21:51:00,6.99,NaN,,NaN
2025-01-29 21:51:15,5.79,NaN,,NaN
2025-01-29 21:51:30,7.19,NaN,,NaN
2025-01-29 21:51:45,6.25,NaN,,NaN
2025-01-29 21:52:00,5.37,NaN,,NaN
2025-01-29 21:52:15,NaN,NaN,,NaN
2025-01-29 21:52:30,NaN,NaN,,NaN
2025-01-29 21:52:45,NaN,NaN,,NaN
2025-01-29 21:53:00,NaN,NaN,,NaN
2025-01-29 21:53:15,3.04,NaN,,NaN
2025-01-29 21:53:30,6.55,NaN,,NaN
2025-01-29 21:53:45,4.95,NaN,,NaN
2025-01-29 21:54:00,8.88,NaN,,NaN
2025-01-29 21:54:15,4.91,NaN,,NaN
2025-01-29 21:54:30,5.69,NaN,,NaN
2025-01-29 21:54:45,5.89,NaN,,NaN
2025-01-29 21:55:00,6.22,NaN,,NaN
2025-01-29 21:55:15,6.66,NaN,,NaN
2025-01-29 21:55:30,5.18,NaN,,NaN
2025-01-29 21:55:45,6.11,NaN,,NaN
2025-01-29 21:56:00,6.13,NaN,,NaN
2025-01-29 21:56:15,NaN,NaN,,NaN
2025-01-29 21:56:30,NaN,NaN,,NaN
2025-01-29 21:56:45,NaN,NaN,,NaN
2025-01-29 21:57:00,NaN,NaN,,NaN
2025-01-29 21:57:15,0.607,NaN,,NaN
2025-01-29 21:57:30,0.583,NaN,,NaN
2025-01-29 21:57:45,0.388,NaN,,NaN
2025-01-29 21:58:00,0.370,NaN,,NaN
2025-01-29 21:58:15,0.346,NaN,,NaN
2025-01-29 21:58:30,0.304,NaN,,NaN
2025-01-29 21:58:45,0.268,NaN,,NaN
2025-01-29 21:59:00,0.262,NaN,,NaN
2025-01-29 21:59:15,0.217,NaN,,NaN
2025-01-29 21:59:30,0.207,NaN,,NaN
2025-01-29 21:59:45,0.204,NaN,,NaN
2025-01-29 22:00:00,0.176,NaN,,NaN
2025-01-29 22:00:15,NaN,NaN,,NaN
2025-01-29 22:00:30,NaN,NaN,,NaN
2025-01-29 22:00:45,NaN,NaN,,NaN
2025-01-29 22:01:00,NaN,NaN,,NaN
2025-01-29 22:01:15,0.422,NaN,,NaN
2025-01-29 22:01:30,0.419,NaN,,NaN
2025-01-29 22:01:45,0.409,NaN,,NaN
2025-01-29 22:02:00,0.393,NaN,,NaN
2025-01-29 22:02:15,0.385,NaN,,NaN
2025-01-29 22:02:30,0.393,NaN,,NaN
2025-01-29 22:02:45,0.388,NaN,,NaN
2025-01-29 22:03:00,0.369,NaN,,NaN
2025-01-29 22:03:15,0.323,NaN,,NaN
2025-01-29 22:03:30,0.331,NaN,,NaN
2025-01-29 22:03:45,0.333,NaN,,NaN
2025-01-29 22:04:00,0.291,NaN,,NaN
2025-01-29 22:04:15,NaN,NaN,,NaN
2025-01-29 22:04:30,NaN,NaN,,NaN
2025-01-29 22:04:45,NaN,NaN,,NaN
2025-01-29 22:05:00,NaN,NaN,,NaN
2025-01-29 22:05:15,1.92,NaN,,NaN
2025-01-29 22:05:30,2.00,NaN,,NaN
2025-01-29 22:05:45,1.41,NaN,,NaN
2025-01-29 22:06:00,0.962,NaN,,NaN
2025-01-29 22:06:15,0.929,NaN,,NaN
2025-01-29 22:06:30,0.582,NaN,,NaN
2025-01-29 22:06:45,1.02,NaN,,NaN
2025-01-29 22:07:00,0.859,NaN,,NaN
2025-01-29 22:07:15,0.549,NaN,,NaN
2025-01-29 22:07:30,0.587,NaN,,NaN
2025-01-29 22:07:45,0.641,NaN,,NaN
2025-01-29 22:08:00,0.504,NaN,,NaN
2025-01-29 22:08:15,NaN,NaN,,NaN
2025-01-29 22:08:30,NaN,NaN,,NaN
2025-01-29 22:08:45,NaN,NaN,,NaN
2025-01-29 22:09:00,NaN,NaN,,NaN
2025-01-29 22:09:15,1.47,NaN,,NaN
2025-01-29 22:09:30,1.26,NaN,,NaN
2025-01-29 22:09:45,1.27,NaN,,NaN
2025-01-29 22:10:00,1.50,NaN,,NaN
2025-01-29 22:10:15,1.39,NaN,,NaN
2025-01-29 22:10:30,1.30,NaN,,NaN
2025-01-29 22:10:45,1.18,NaN,,NaN
2025-01-29 22:11:00,1.07,NaN,,NaN
2025-01-29 22:11:15,1.09,NaN,,NaN
2025-01-29 22:11:30,1.25,NaN,,NaN
2025-01-29 22:11:45,1.41,NaN,,NaN
2025-01-29 22:12:00,1.39,NaN,,NaN
2025-01-29 22:12:15,NaN,NaN,,NaN
2025-01-29 22:12:30,NaN,NaN,,NaN
2025-01-29 22:12:45,NaN,NaN,,NaN
2025-01-29 22:13:00,NaN,NaN,,NaN
2025-01-29 22:13:15,2.62,NaN,,NaN
2025-01-29 22:13:30,4.13,NaN,,NaN
2025-01-29 22:13:45,2.78,NaN,,NaN
2025-01-29 22:14:00,3.64,NaN,,NaN
2025-01-29 22:14:15,1.68,NaN,,NaN
2025-01-29 22:14:30,1.64,NaN,,NaN
2025-01-29 22:14:45,1.54,NaN,,NaN
2025-01-29 22:15:00,1.51,NaN,,NaN
2025-01-29 22:15:15,2.35,NaN,,NaN
2025-01-29 22:15:30,1.07,NaN,,NaN
2025-01-29 22:15:45,1.27,NaN,,NaN
2025-01-29 22:16:00,1.22,NaN,,NaN
2025-01-29 22:16:15,NaN,NaN,,NaN
2025-01-29 22:16:30,NaN,NaN,,NaN
2025-01-29 22:16:45,NaN,NaN,,NaN
2025-01-29 22:17:00,NaN,NaN,,NaN
2025-01-29 22:17:15,2.29,NaN,,NaN
2025-01-29 22:17:30,3.42,NaN,,NaN
2025-01-29 22:17:45,2.79,NaN,,NaN
2025-01-29 22:18:00,2.92,NaN,,NaN
2025-01-29 22:18:15,2.72,NaN,,NaN
2025-01-29 22:18:30,3.08,NaN,,NaN
2025-01-29 22:18:45,3.10,NaN,,NaN
2025-01-29 22:19:00,2.51,NaN,,NaN
2025-01-29 22:19:15,3.15,NaN,,NaN
2025-01-29 22:19:30,2.87,NaN,,NaN
