Time;" code=""200"" pod_template_hash=""5f59dffc5""";"code=""200"" pod_template_hash=""86d89cc867""";"code=""500"" pod_template_hash=""5f59dffc5""";"code=""500"" pod_template_hash=""86d89cc867""";"code=""502"" pod_template_hash=""5f59dffc5""";"code=""502"" pod_template_hash=""86d89cc867""";"code=""504"" pod_template_hash=""5f59dffc5""";"code=""504"" pod_template_hash=""86d89cc867"""
15/10/2024 14:10;;7.42;;0;;0;;0
15/10/2024 14:10;;8.45;;0;;0;;0
15/10/2024 14:11;;6.11;;0;;0;;0
15/10/2024 14:11;;7.53;;0;;0;;0
15/10/2024 14:11;;3.97;;0;;0;;0
15/10/2024 14:11;;5.44;;0;;0;;0
15/10/2024 14:12;;6.25;;0;;0;;0
15/10/2024 14:12;;7.18;;0;;0;;0
15/10/2024 14:12;;6.27;;0;;0;;0
15/10/2024 14:12;;6.03;;0;;0;;0
15/10/2024 14:13;;7.09;;0;;0;;0
15/10/2024 14:13;;6.34;;0;;0;;0
15/10/2024 14:13;;6.53;;0;;0;;0
15/10/2024 14:13;;6.53;;0;;0;;0
15/10/2024 14:14;;7.44;;0;;0;;0
15/10/2024 14:14;;6.07;;0;;0;;0
15/10/2024 14:14;;0.558;;0;;0;;0
15/10/2024 14:14;;0.427;;0;;0;;0
15/10/2024 14:15;;0.416;;0;;0;;0
15/10/2024 14:15;;0.418;;0;;0;;0
15/10/2024 14:15;;0.367;;0;;0;;0
15/10/2024 14:15;;0.328;;0;;0;;0
15/10/2024 14:16;;0.331;;0;;0;;0
15/10/2024 14:16;;0.276;;0;;0;;0
15/10/2024 14:16;;0.245;;0;;0;;0
15/10/2024 14:16;;0.285;;0;;0;;0
15/10/2024 14:17;;0.218;;0;;0;;0
15/10/2024 14:17;;0.258;;0;;0;;0
15/10/2024 14:17;;0.308;;0;;0;;0
15/10/2024 14:17;;0.313;;0;;0;;0
15/10/2024 14:18;;0.324;;0;;0;;0
15/10/2024 14:18;;0.326;;0;;0;;0
15/10/2024 14:18;;0.318;;0;;0;;0
15/10/2024 14:18;;0.338;;0;;0;;0
15/10/2024 14:19;;0.333;;0;;0;;0
15/10/2024 14:19;;0.332;;0;;0;;0
15/10/2024 14:19;;0.315;;0;;0;;0
15/10/2024 14:19;;0.336;;0;;0;;0
15/10/2024 14:20;;0.315;;0;;0;;0
15/10/2024 14:20;;0.31;;0;;0;;0
15/10/2024 14:20;;0.318;;0;;0;;0
15/10/2024 14:20;;2.7;;0;;0;;0
15/10/2024 14:21;;2.08;;0;;0;;0
15/10/2024 14:21;;2.53;;0;;0;;0
15/10/2024 14:21;;1.99;;0;;0;;0
15/10/2024 14:21;;2.46;;0;;0;;0
15/10/2024 14:22;;2.03;;0;;0;;0
15/10/2024 14:22;;3.06;;0;;0;;0
15/10/2024 14:22;;5.93;;0;;0;;0
15/10/2024 14:22;;6.65;;0;;0;;0
15/10/2024 14:23;;6.48;;0;;0;;0
15/10/2024 14:23;;8.59;;0;;0;;0
15/10/2024 14:23;;5.83;;0;;0;;0
15/10/2024 14:23;;0;;0;;0;;0
15/10/2024 14:24;;4.18;;0;;0;;0
15/10/2024 14:24;;4.6;;30;;0;;0
15/10/2024 14:24;;5.13;;0;;0;;0
15/10/2024 14:24;;5.7;;30;;0;;0
15/10/2024 14:25;;6.27;;0;;0;;0
15/10/2024 14:25;;5.98;;0;;0;;0
15/10/2024 14:25;;5.85;;0;;0;;0
15/10/2024 14:25;;6.92;;0;;0;;0
15/10/2024 14:26;;5.85;;0;;0;;0
15/10/2024 14:26;;6.32;;0;;0;;0
15/10/2024 14:26;;6.18;;0;;0;;0
15/10/2024 14:26;;5.1;;0;;0;;0
15/10/2024 14:27;;0.618;;0;;0;;0
15/10/2024 14:27;;0.474;;0;;0;;0
15/10/2024 14:27;;0.4;;0;;0;;0
15/10/2024 14:27;;0.47;;0;;0;;0
15/10/2024 14:28;;0.334;;0;;0;;0
15/10/2024 14:28;;0.319;;0;;0;;0
15/10/2024 14:28;;0.294;;0;;0;;0
15/10/2024 14:28;;0.254;;0;;0;;0
15/10/2024 14:29;;0.27;;0;;0;;0
15/10/2024 14:29;;0.229;;0;;0;;0
15/10/2024 14:29;;0.222;;0;;0;;0
15/10/2024 14:29;;0.246;;0;;0;;0
15/10/2024 14:30;;0.326;;0;;0;;0
15/10/2024 14:30;;0.316;;0;;0;;0
15/10/2024 14:30;;0.314;;0;;0;;0
15/10/2024 14:30;;0.327;;0;;0;;0
15/10/2024 14:31;;0.324;;0;;0;;0
15/10/2024 14:31;;0.313;;0;;0;;0
15/10/2024 14:31;;0.325;;0;;0;;0
15/10/2024 14:31;;0.359;;0;;0;;0
15/10/2024 14:32;;0.326;;0;;0;;0
15/10/2024 14:32;;0.311;;0;;0;;0
15/10/2024 14:32;;0.316;;0;;0;;0
15/10/2024 14:32;;0.333;;0;;0;;0
15/10/2024 14:33;;0.563;;0;;0;;0
15/10/2024 14:33;;0.647;;0;;0;;0
15/10/2024 14:33;;0.616;;0;;0;;0
15/10/2024 14:33;;0.651;;0;;0;;0
15/10/2024 14:34;;0.607;;0;;0;;0
15/10/2024 14:34;;0.582;;0;;0;;0
15/10/2024 14:34;;0.619;;0;;0;;0
15/10/2024 14:34;;0.7;;0;;0;;0
15/10/2024 14:35;;0.648;;0;;0;;0
15/10/2024 14:35;;0.562;;0;;0;;0
15/10/2024 14:35;;0.609;;0;;0;;0
15/10/2024 14:35;;0.61;;0;;0;;0
15/10/2024 14:36;;1.2;;0;;0;;0
15/10/2024 14:36;;1.43;;0;;0;;0
15/10/2024 14:36;;1.29;;0;;0;;0
15/10/2024 14:36;;1.38;;0;;0;;0
15/10/2024 14:37;;1.39;;0;;0;;0
15/10/2024 14:37;;1.41;;0;;0;;0
15/10/2024 14:37;;1.32;;0;;0;;0
15/10/2024 14:37;;1.28;;0;;0;;0
15/10/2024 14:38;;1.33;;0;;0;;0
15/10/2024 14:38;;1.4;;0;;0;;0
15/10/2024 14:38;;1.33;;0;;0;;0
15/10/2024 14:38;;1.34;;0;;0;;0
15/10/2024 14:39;;1.47;;0;;0;;0
15/10/2024 14:39;;1.34;;0;;0;;0
15/10/2024 14:39;;1.16;;0;;0;;0
15/10/2024 14:39;;1.24;;0;;0;;0
15/10/2024 14:40;;1.01;;0;;0;;0
15/10/2024 14:40;;1.45;;0;;0;;0
15/10/2024 14:40;;1.4;;0;;0;;0
15/10/2024 14:40;;1.29;;0;;0;;0
15/10/2024 14:41;;1.31;;0;;0;;0
15/10/2024 14:41;;1.06;;0;;0;;0
15/10/2024 14:41;;1.5;;0;;0;;0
15/10/2024 14:41;;1.35;;0;;0;;0
15/10/2024 14:42;;1.35;;0;;0;;0
15/10/2024 14:42;;3.09;;0;;0;;0
15/10/2024 14:42;;0;;0;;0;;0
15/10/2024 14:42;;0;;0;;0;;0
15/10/2024 14:43;;1.05;;0;;0;;0
15/10/2024 14:43;;1.97;;0;;0;;0
15/10/2024 14:43;;2.69;;0;;0;;0
15/10/2024 14:43;;2.34;;0;;0;;0
15/10/2024 14:44;;3.63;;0;;0;;0
15/10/2024 14:44;;3.1;;0;;0;;0
15/10/2024 14:44;;3.4;;0;;0;;0
15/10/2024 14:44;;2.65;;0;;0;;0
15/10/2024 14:45;;3.04;;0;;0;;0
15/10/2024 14:45;;1.59;;0;;0;;0
15/10/2024 14:45;;1.88;;0;;0;;0
15/10/2024 14:45;;2.21;;0;;0;;0
15/10/2024 14:46;;2.41;;0;;0;;0
15/10/2024 14:46;;2.45;;0;;0;;0
15/10/2024 14:46;;2.27;;0;;0;;0
15/10/2024 14:46;;2.28;;0;;0;;0
15/10/2024 14:47;;2.15;;0;;0;;0
15/10/2024 14:47;;2.16;;0;;0;;0
15/10/2024 14:47;;1.95;;0;;0;;0
15/10/2024 14:47;;2.03;;0;;0;;0
15/10/2024 14:48;;2.45;;0;;0;;0
15/10/2024 14:48;;3.52;;0;;0;;0
15/10/2024 14:48;;4.43;;4.2;;0.899;;0
15/10/2024 14:48;;0;;0;;0;;0
15/10/2024 14:49;;12.6;;0;;0;;0
15/10/2024 14:49;;1.03;;0;;0;;0
15/10/2024 14:49;;3.64;;0;;0;;0
15/10/2024 14:49;;0;;0;;0;;0
15/10/2024 14:50;;0;;0;;0;;0
15/10/2024 14:50;;2.28;;0;;0;;0
15/10/2024 14:50;;3.28;;0;;0;;0
