Iteración, tamaño, formato, id, enviadas, recibidas
0, 2,.png, -862742778, 60, 60
0, 2,.png, 2077362549, 57, 57
0, 2,.png, 1350799091, 60, 60
0, 2,.png, -670262889, 64, 64
0, 2,.png, -1466419902, 61, 61
0, 3,.jpg, -255912788, 63, 63
0, 3,.jpg, -2097326336, 64, 64
0, 3,.jpg, 1383062612, 100, 100
0, 3,.jpg, -1271910906, 56, 56
0, 3,.jpg, 225546651, 65, 65
0, 3,.jpg, 1904484859, 70, 70
0, 3,.jpg, -180485340, 74, 74
0, 3,.jpg, 2089921305, 78, 78
0, 3,.jpg, -1177748987, 69, 69
0, 3,.jpg, -1711521440, 89, 89
0, 3,.jpg, -2016280425, 56, 56
0, 3,.jpg, -1758712048, 70, 70
0, 3,.jpg, -2021955521, 75, 75
0, 3,.jpg, -1546357735, 63, 63
0, 3,.jpg, 1506504275, 76, 76
0, 3,.jpg, 728890000, 58, 58
0, 3,.jpg, -1624542363, 59, 59
0, 3,.jpg, 157213209, 56, 56
0, 3,.jpg, -369477578, 63, 63
0, 3,.jpg, 1926520157, 76, 76
0, 3,.jpg, 563814596, 99, 99
0, 3,.jpg, -127439353, 73, 73
0, 3,.jpg, -804300211, 54, 54
0, 3,.jpg, -1476333452, 76, 76
0, 3,.jpg, -1869246098, 63, 63
0, 3,.jpg, -632113731, 54, 54
0, 3,.jpg, 243806592, 71, 71
0, 3,.jpg, -1261841922, 66, 66
0, 3,.jpg, -411316388, 75, 75
0, 3,.jpg, -1100440041, 81, 81
0, 3,.png, -1879087985, 22, 17
0, 3,.png, -1939085792, 45, 42
0, 3,.png, -913059685, 43, 41
0, 3,.png, -697751856, 30, 28
0, 3,.png, 1959430405, 45, 43
0, 3,.png, 549298162, 40, 37
0, 3,.png, -1902401782, 25, 23
0, 3,.png, -517285464, 16, 11
0, 3,.png, 1846942384, 8, 3
0, 3,.png, 1545154927, 8, 4
0, 3,.png, -1600433873, 7, 2
0, 3,.png, 1419177285, 19, 17
0, 3,.png, -720403115, 25, 23
0, 3,.png, 2037415024, 22, 19
0, 3,.png, 1005560748, 14, 12
0, 3,.png, -453108927, 21, 18
0, 3,.png, -170989336, 26, 23
0, 3,.png, -1519731879, 18, 15
0, 3,.png, -1748067995, 8, 3
0, 3,.png, 496292739, 8, 4
0, 3,.png, 954037785, 16, 12
0, 3,.png, -64282309, 24, 22
0, 3,.png, 1263757191, 10, 7
0, 3,.png, 708427814, 23, 20
0, 3,.png, -126213969, 17, 14
0, 3,.png, 2085615757, 9, 6
0, 3,.png, -2039271574, 26, 23
0, 3,.png, -307589914, 27, 24
0, 3,.png, 1043397027, 11, 7
0, 3,.png, 1508717355, 9, 5
1, 1,.jpg, 1081972845, 171, 171
1, 1,.jpg, 1968029714, 192, 191
1, 1,.jpg, -1814009311, 155, 155
1, 1,.jpg, -1357757389, 188, 187
1, 1,.jpg, -1790463727, 209, 208
1, 1,.jpg, 1466574913, 193, 192
1, 1,.jpg, 1038429440, 253, 253
1, 1,.jpg, 131198386, 167, 167
1, 1,.jpg, -2697114, 197, 196
1, 1,.jpg, -245861388, 133, 132
1, 1,.jpg, -968473002, 204, 204
1, 1,.jpg, -56926930, 191, 191
1, 1,.jpg, 1861442822, 210, 210
1, 1,.jpg, 1746647022, 158, 157
1, 1,.jpg, -1918971622, 175, 174
1, 1,.jpg, 1935715775, 179, 178
1, 1,.jpg, 536202451, 203, 202
1, 1,.jpg, 645982115, 163, 163
1, 1,.jpg, 1788358976, 218, 218
1, 1,.jpg, -1127839116, 164, 164
1, 1,.jpg, 1214662411, 139, 138
1, 1,.jpg, 1391360335, 213, 212
1, 1,.jpg, 1056583365, 189, 188
1, 1,.jpg, -797484856, 229, 229
1, 1,.jpg, 1767630408, 150, 150
1, 1,.jpg, 172652108, 163, 162
1, 1,.jpg, 1324227706, 215, 214
1, 1,.jpg, 1671983994, 160, 160
1, 1,.jpg, 1360844639, 171, 170
