"Time","reducirimagen.openfaas-fn"
2025-07-03 11:10:46,82.8
2025-07-03 11:10:48,83.4
2025-07-03 11:10:50,84.7
2025-07-03 11:10:52,85.9
2025-07-03 11:10:54,86.6
2025-07-03 11:10:56,86.8
2025-07-03 11:10:58,87.4
2025-07-03 11:11:00,88.7
2025-07-03 11:11:02,88.9
2025-07-03 11:11:04,88.5
2025-07-03 11:11:06,88.8
2025-07-03 11:11:08,88.4
2025-07-03 11:11:10,89.7
2025-07-03 11:11:12,89.9
2025-07-03 11:11:14,90.5
2025-07-03 11:11:16,90.8
2025-07-03 11:11:18,90.4
2025-07-03 11:11:20,91.7
2025-07-03 11:11:22,91.9
2025-07-03 11:11:24,92.5
2025-07-03 11:11:26,92.8
2025-07-03 11:11:28,92.4
2025-07-03 11:11:30,93.7
2025-07-03 11:11:32,93.9
2025-07-03 11:11:34,94.5
2025-07-03 11:11:36,94.8
2025-07-03 11:11:38,94.4
2025-07-03 11:11:40,95.7
2025-07-03 11:11:42,95.9
2025-07-03 11:11:44,97.5
2025-07-03 11:11:46,97.8
2025-07-03 11:11:48,98.4
2025-07-03 11:11:50,99.7
2025-07-03 11:11:52,99.9
2025-07-03 11:11:54,101
2025-07-03 11:11:56,101
2025-07-03 11:11:58,100
2025-07-03 11:12:00,102
2025-07-03 11:12:02,102
2025-07-03 11:12:04,103
2025-07-03 11:12:06,103
2025-07-03 11:12:08,102
2025-07-03 11:12:10,104
2025-07-03 11:12:12,104
2025-07-03 11:12:14,105
2025-07-03 11:12:16,105
2025-07-03 11:12:18,106
2025-07-03 11:12:20,108
2025-07-03 11:12:22,108
2025-07-03 11:12:24,109
2025-07-03 11:12:26,109
2025-07-03 11:12:28,108
2025-07-03 11:12:30,110
2025-07-03 11:12:32,110
2025-07-03 11:12:34,111
2025-07-03 11:12:36,111
2025-07-03 11:12:38,110
2025-07-03 11:12:40,111
2025-07-03 11:12:42,112
2025-07-03 11:12:44,113
2025-07-03 11:12:46,113
2025-07-03 11:12:48,112
2025-07-03 11:12:50,113
2025-07-03 11:12:52,114
2025-07-03 11:12:54,115
2025-07-03 11:12:56,115
2025-07-03 11:12:58,114
2025-07-03 11:13:00,115
2025-07-03 11:13:02,116
2025-07-03 11:13:04,117
2025-07-03 11:13:06,117
2025-07-03 11:13:08,116
2025-07-03 11:13:10,118
2025-07-03 11:13:12,119
2025-07-03 11:13:14,121
2025-07-03 11:13:16,121
2025-07-03 11:13:18,120
2025-07-03 11:13:20,121
2025-07-03 11:13:22,122
2025-07-03 11:13:24,123
2025-07-03 11:13:26,123
2025-07-03 11:13:28,122
2025-07-03 11:13:30,123
2025-07-03 11:13:32,124
2025-07-03 11:13:34,125
2025-07-03 11:13:36,125
2025-07-03 11:13:38,124
2025-07-03 11:13:40,125
2025-07-03 11:13:42,126
2025-07-03 11:13:44,127
2025-07-03 11:13:46,127
2025-07-03 11:13:48,126
2025-07-03 11:13:50,127
2025-07-03 11:13:52,128
2025-07-03 11:13:54,129
2025-07-03 11:13:56,129
2025-07-03 11:13:58,130
2025-07-03 11:14:00,131
2025-07-03 11:14:02,132
2025-07-03 11:14:04,133
2025-07-03 11:14:06,133
2025-07-03 11:14:08,132
2025-07-03 11:14:10,133
2025-07-03 11:14:12,134
2025-07-03 11:14:14,135
2025-07-03 11:14:16,135
2025-07-03 11:14:18,134
2025-07-03 11:14:20,135
2025-07-03 11:14:22,136
2025-07-03 11:14:24,137
2025-07-03 11:14:26,137
2025-07-03 11:14:28,136
2025-07-03 11:14:30,137
2025-07-03 11:14:32,137
2025-07-03 11:14:34,139
2025-07-03 11:14:36,139
2025-07-03 11:14:38,138
2025-07-03 11:14:40,139
2025-07-03 11:14:42,139
2025-07-03 11:14:44,141
2025-07-03 11:14:46,141
2025-07-03 11:14:48,143
2025-07-03 11:14:50,143
2025-07-03 11:14:52,143
2025-07-03 11:14:54,145
2025-07-03 11:14:56,145
2025-07-03 11:14:58,144
2025-07-03 11:15:00,144
2025-07-03 11:15:02,143
2025-07-03 11:15:04,145
2025-07-03 11:15:06,145
2025-07-03 11:15:08,144
2025-07-03 11:15:10,144
2025-07-03 11:15:12,143
2025-07-03 11:15:14,145
2025-07-03 11:15:16,145
2025-07-03 11:15:18,144
2025-07-03 11:15:20,144
2025-07-03 11:15:22,143
2025-07-03 11:15:24,145
2025-07-03 11:15:26,145
2025-07-03 11:15:28,144
2025-07-03 11:15:30,144
2025-07-03 11:15:32,143
2025-07-03 11:15:34,146
2025-07-03 11:15:36,146
2025-07-03 11:15:38,146
2025-07-03 11:15:40,146
2025-07-03 11:15:42,145
2025-07-03 11:15:44,147
2025-07-03 11:15:46,147
2025-07-03 11:15:48,146
2025-07-03 11:15:50,146
2025-07-03 11:15:52,145
2025-07-03 11:15:54,146
2025-07-03 11:15:56,146
2025-07-03 11:15:58,146
2025-07-03 11:16:00,146
2025-07-03 11:16:02,145
2025-07-03 11:16:04,146
2025-07-03 11:16:06,146
2025-07-03 11:16:08,146
2025-07-03 11:16:10,146
2025-07-03 11:16:12,145
2025-07-03 11:16:14,146
2025-07-03 11:16:16,146
2025-07-03 11:16:18,146
2025-07-03 11:16:20,146
2025-07-03 11:16:22,146
2025-07-03 11:16:24,144
2025-07-03 11:16:26,144
2025-07-03 11:16:28,144
2025-07-03 11:16:30,144
2025-07-03 11:16:32,145
2025-07-03 11:16:34,145
2025-07-03 11:16:36,146
2025-07-03 11:16:38,147
2025-07-03 11:16:40,147
2025-07-03 11:16:42,147
2025-07-03 11:16:44,145
2025-07-03 11:16:46,146
2025-07-03 11:16:48,147
2025-07-03 11:16:50,147
2025-07-03 11:16:52,147
2025-07-03 11:16:54,145
2025-07-03 11:16:56,146
2025-07-03 11:16:58,146
2025-07-03 11:17:00,146
2025-07-03 11:17:02,145
2025-07-03 11:17:04,143
2025-07-03 11:17:06,144
2025-07-03 11:17:08,145
2025-07-03 11:17:10,145
2025-07-03 11:17:12,145
2025-07-03 11:17:14,145
2025-07-03 11:17:16,146
2025-07-03 11:17:18,147
2025-07-03 11:17:20,147
2025-07-03 11:17:22,147
2025-07-03 11:17:24,145
2025-07-03 11:17:26,146
2025-07-03 11:17:28,147
2025-07-03 11:17:30,147
2025-07-03 11:17:32,147
2025-07-03 11:17:34,145
2025-07-03 11:17:36,146
2025-07-03 11:17:38,147
2025-07-03 11:17:40,147
2025-07-03 11:17:42,147
2025-07-03 11:17:44,144
2025-07-03 11:17:46,144
2025-07-03 11:17:48,145
2025-07-03 11:17:50,145
2025-07-03 11:17:52,145
2025-07-03 11:17:54,143
2025-07-03 11:17:56,144
2025-07-03 11:17:58,147
2025-07-03 11:18:00,147
2025-07-03 11:18:02,147
2025-07-03 11:18:04,145
2025-07-03 11:18:06,146
2025-07-03 11:18:08,147
2025-07-03 11:18:10,147
2025-07-03 11:18:12,147
2025-07-03 11:18:14,146
2025-07-03 11:18:16,146
2025-07-03 11:18:18,147
2025-07-03 11:18:20,147
2025-07-03 11:18:22,147
2025-07-03 11:18:24,144
2025-07-03 11:18:26,144
2025-07-03 11:18:28,145
2025-07-03 11:18:30,145
2025-07-03 11:18:32,145
2025-07-03 11:18:34,146
2025-07-03 11:18:36,145
2025-07-03 11:18:38,147
2025-07-03 11:18:40,147
2025-07-03 11:18:42,147
2025-07-03 11:18:44,146
2025-07-03 11:18:46,145
2025-07-03 11:18:48,147
2025-07-03 11:18:50,147
2025-07-03 11:18:52,147
2025-07-03 11:18:54,146
2025-07-03 11:18:56,145
2025-07-03 11:18:58,146
2025-07-03 11:19:00,145
2025-07-03 11:19:02,145
2025-07-03 11:19:04,144
2025-07-03 11:19:06,143
2025-07-03 11:19:08,145
2025-07-03 11:19:10,145
2025-07-03 11:19:12,145
2025-07-03 11:19:14,144
2025-07-03 11:19:16,143
2025-07-03 11:19:18,145
2025-07-03 11:19:20,146
2025-07-03 11:19:22,146
2025-07-03 11:19:24,146
2025-07-03 11:19:26,145
2025-07-03 11:19:28,147
2025-07-03 11:19:30,147
2025-07-03 11:19:32,147
2025-07-03 11:19:34,146
2025-07-03 11:19:36,145
2025-07-03 11:19:38,146
2025-07-03 11:19:40,146
2025-07-03 11:19:42,145
2025-07-03 11:19:44,144
2025-07-03 11:19:46,143
2025-07-03 11:19:48,145
2025-07-03 11:19:50,145
2025-07-03 11:19:52,145
2025-07-03 11:19:54,144
2025-07-03 11:19:56,143
2025-07-03 11:19:58,145
