sep=,
"Time","200","502"
2025-04-14 23:14:00,NaN,NaN
2025-04-14 23:14:15,0.146,NaN
2025-04-14 23:14:30,NaN,NaN
2025-04-14 23:14:45,0.155,NaN
2025-04-14 23:15:00,NaN,NaN
2025-04-14 23:15:15,0.135,NaN
2025-04-14 23:15:30,NaN,NaN
2025-04-14 23:15:45,0.253,NaN
2025-04-14 23:16:00,NaN,NaN
2025-04-14 23:16:15,0.180,NaN
2025-04-14 23:16:30,NaN,NaN
2025-04-14 23:16:45,NaN,NaN
2025-04-14 23:17:00,NaN,NaN
2025-04-14 23:17:15,NaN,NaN
2025-04-14 23:17:30,0.167,NaN
2025-04-14 23:17:45,NaN,NaN
2025-04-14 23:18:00,0.150,NaN
2025-04-14 23:18:15,NaN,NaN
2025-04-14 23:18:30,0.157,NaN
2025-04-14 23:18:45,NaN,NaN
2025-04-14 23:19:00,0.153,NaN
2025-04-14 23:19:15,NaN,NaN
2025-04-14 23:19:30,0.145,NaN
2025-04-14 23:19:45,NaN,NaN
2025-04-14 23:20:00,0.146,NaN
2025-04-14 23:20:15,NaN,NaN
2025-04-14 23:20:30,0.148,NaN
2025-04-14 23:20:45,NaN,NaN
2025-04-14 23:21:00,NaN,NaN
2025-04-14 23:21:15,NaN,NaN
2025-04-14 23:21:30,NaN,NaN
2025-04-14 23:21:45,0.158,NaN
2025-04-14 23:22:00,NaN,NaN
2025-04-14 23:22:15,0.146,NaN
2025-04-14 23:22:30,NaN,NaN
2025-04-14 23:22:45,0.144,NaN
2025-04-14 23:23:00,NaN,NaN
2025-04-14 23:23:15,0.143,NaN
2025-04-14 23:23:30,NaN,NaN
2025-04-14 23:23:45,0.176,NaN
2025-04-14 23:24:00,NaN,NaN
2025-04-14 23:24:15,0.137,NaN
2025-04-14 23:24:30,NaN,NaN
2025-04-14 23:24:45,0.117,NaN
2025-04-14 23:25:00,NaN,NaN
2025-04-14 23:25:15,0.156,NaN
2025-04-14 23:25:30,NaN,NaN
2025-04-14 23:25:45,NaN,NaN
2025-04-14 23:26:00,NaN,NaN
2025-04-14 23:26:15,NaN,NaN
2025-04-14 23:26:30,0.163,NaN
2025-04-14 23:26:45,NaN,NaN
2025-04-14 23:27:00,0.144,NaN
2025-04-14 23:27:15,NaN,NaN
2025-04-14 23:27:30,0.140,NaN
2025-04-14 23:27:45,NaN,NaN
2025-04-14 23:28:00,0.157,NaN
